,VOLUME,OPEN,HIGH,LOW,CLOSE
14/07/1993,617300,44.93749076,45.24984507,44.9063843,45.06245327
15/07/1993,443800,45.03133673,45.03123326,44.78136093,44.87518962
16/07/1993,216400,44.90615189,44.93746417,44.68743982,44.74991766
19/07/1993,188200,44.75007244,44.74987891,44.59376115,44.71875289
20/07/1993,68000,44.68751728,44.8439408,44.46885921,44.84380989
21/07/1993,142700,44.78108706,44.81263411,44.65644787,44.81241806
22/07/1993,632400,44.75003388,44.81262046,44.50005491,44.50004927
23/07/1993,286500,44.59360064,44.71882263,44.56243002,44.71867614
26/07/1993,121300,44.84372688,45.06256284,44.84386956,44.9689817
27/07/1993,92800,45.00000955,45.03141402,44.78121284,44.93743227
28/07/1993,30800,44.84376924,44.9376144,44.75007924,44.8438395
29/07/1993,331000,44.93754874,45.21875888,44.87493538,45.0939117
30/07/1993,75300,45.09390238,45.09383517,44.78131248,44.84387998
02/08/1993,41300,44.90637814,45.1251461,44.90634349,44.9687291
03/08/1993,81600,45.06250774,45.18746936,44.84382223,45.00008283
04/08/1993,434000,45.00007955,45.09377306,44.87509321,44.99996041
05/08/1993,36800,44.99998688,44.99997045,44.84371986,44.90631303
06/08/1993,402300,45.03121317,45.06246756,44.90626342,44.96894853
09/08/1993,828400,45.09373133,45.34367556,44.99986133,45.21894131
10/08/1993,604900,45.18745107,45.21891934,45.12507371,45.18752261
11/08/1993,542200,45.15631049,45.31243776,45.15629612,45.18761928
12/08/1993,303700,45.3125151,45.31239993,44.90619382,45.06259553
13/08/1993,103500,45.0938473,45.15622374,45.0937418,45.12502268
16/08/1993,241800,45.15628226,45.50006828,45.15640146,45.37485369
17/08/1993,372400,45.34377673,45.53121052,45.34366888,45.53122385
18/08/1993,416000,45.68758797,45.87483093,45.65643944,45.78152765
19/08/1993,28500,45.81264154,45.81256626,45.71887755,45.78128491
20/08/1993,80700,45.68753412,45.81233211,45.65638928,45.81226516
23/08/1993,15600,45.62490394,45.7501605,45.62509544,45.71893845
24/08/1993,273500,45.75001728,46.21883663,45.71877423,46.21888445
25/08/1993,242300,46.21892183,46.43764623,46.1563668,46.24984096
26/08/1993,120000,46.28126862,46.53132286,46.093814,46.28126572
27/08/1993,25700,46.15630747,46.25002546,46.15629518,46.24995973
30/08/1993,192500,46.28124354,46.49998519,46.28131709,46.4375651
31/08/1993,66500,46.40630218,46.56265167,46.34374445,46.56240489
01/09/1993,136500,46.40645164,46.59376185,46.40624263,46.49990507
02/09/1993,480400,46.53119501,46.59372377,46.31257702,46.34374945
03/09/1993,630500,46.31238826,46.43743201,46.25015965,46.37484473
06/09/1993,,,,,
07/09/1993,196400,46.37505217,46.43754975,46.00004943,46.06257091
08/09/1993,269900,46.06252129,46.06265105,45.59367385,45.90642377
09/09/1993,239200,45.71867885,46.03130141,45.71896525,46.0001116
10/09/1993,106500,46.12498632,46.4375269,46.0624013,46.40633596
13/09/1993,66900,46.56257765,46.56238279,46.43763775,46.43755447
14/09/1993,187200,46.31243439,46.31258633,46.09382018,46.25003545
15/09/1993,100200,46.06235278,46.40642919,45.90619399,46.37493624
16/09/1993,49600,46.31257443,46.34373902,46.15624477,46.28136634
17/09/1993,200900,45.87496919,45.90634477,45.74984546,45.81238438
20/09/1993,57800,45.87496364,45.96879416,45.43736462,45.43753401
21/09/1993,316000,45.50004233,45.56243259,44.81244612,45.28131155
22/09/1993,439700,45.43743075,45.71880508,45.37513285,45.65613048
23/09/1993,88500,45.78131923,45.93758476,45.71874028,45.9063035
24/09/1993,53500,45.84369306,45.87517499,45.71883903,45.78134096
27/09/1993,299600,46.1250435,46.2813657,46.12495237,46.28141973
28/09/1993,158300,46.3125749,46.31249041,46.15624651,46.18729428
29/09/1993,243000,46.1874979,46.31248114,45.96879309,46.03122261
30/09/1993,158300,46.03124561,46.12503171,45.84378807,45.93744393
01/10/1993,22700,45.87497917,46.2187868,45.81241065,46.15645589
04/10/1993,1038500,46.21877352,46.21879552,46.09388108,46.21863328
05/10/1993,886500,46.3123873,46.31236848,46.00002625,46.15631747
06/10/1993,209200,46.18748818,46.37503151,46.12502113,46.12503058
07/10/1993,58900,46.18757705,46.18744029,45.96878055,45.99990132
08/10/1993,54400,46.12488718,46.18750407,45.71881909,46.06240993
11/10/1993,467100,46.15637567,46.24983766,46.15631988,46.15641466
12/10/1993,26200,46.21877104,46.24995848,46.18755189,46.21890333
13/10/1993,139100,46.25006045,46.25006083,46.15629209,46.21890243
14/10/1993,108100,46.40639192,46.81227318,46.28158107,46.81247789
15/10/1993,1502500,47.03120831,47.15618591,46.90624032,47.06231493
18/10/1993,722400,47.03121152,47.03137502,46.87494862,46.93766344
19/10/1993,880100,46.87495261,46.96885511,46.59384946,46.59380033
20/10/1993,230400,46.74988197,46.74992942,46.56243337,46.65630095
21/10/1993,56200,46.68750257,46.68734456,46.53121558,46.59380517
22/10/1993,390700,46.65624076,46.84385849,46.37502623,46.37492026
25/10/1993,114500,46.40616283,46.56248101,46.28124273,46.49985879
26/10/1993,186200,46.46880106,46.49997642,46.3125331,46.4687419
27/10/1993,118400,46.4062384,46.53122305,46.40641839,46.49988043
28/10/1993,129600,46.56249277,46.96898526,46.56245304,46.8438356
29/10/1993,80700,46.81250473,46.87489779,46.78129481,46.84352817
01/11/1993,34600,46.78125247,47.00003835,46.78138862,46.96867042
02/11/1993,262100,46.90636806,250.6477005,46.65642741,46.93738214
03/11/1993,504100,46.90646764,46.90615472,46.12504748,46.37510719
04/11/1993,130400,46.34376481,46.34377987,45.81244098,45.84374748
05/11/1993,363200,45.71890312,46.0624829,45.5312827,46.06257314
08/11/1993,367600,46.09371953,46.24992507,45.96874262,46.12501193
09/11/1993,246900,46.43739048,46.46872499,46.12503042,46.15646589
10/11/1993,46500,46.15631339,46.49989849,46.03135126,46.49998688
11/11/1993,88900,46.4999662,46.62484248,46.34373732,46.37486378
12/11/1993,108200,46.46876001,46.75004735,46.43746807,46.59373293
15/11/1993,243300,46.68756255,46.68756396,46.43758576,46.56245427
16/11/1993,492600,46.65619647,46.81249976,46.46890844,46.78112245
17/11/1993,42100,46.81272953,46.81251458,46.40621337,46.53125195
18/11/1993,240800,46.46887519,46.5626634,46.28131147,46.40629982
19/11/1993,106000,46.25003259,46.37524588,46.21864348,46.31242925
22/11/1993,185300,46.18747695,46.21898655,45.87502765,46.03138021
23/11/1993,91700,46.28119362,46.31240486,46.03138122,46.2812419
24/11/1993,77200,46.4063037,46.49991836,46.34378845,46.46878178
25/11/1993,,,,,
26/11/1993,1019800,46.59392807,46.5938761,46.46918235,46.50004643
29/11/1993,517500,46.62506331,46.71887569,46.31254978,46.31235139
30/11/1993,239500,46.28125876,46.56236249,46.2500747,46.34370143
01/12/1993,379200,46.59373933,46.62500572,46.40618958,46.40613302
02/12/1993,352000,46.50000191,46.5623533,46.40645185,46.53121299
03/12/1993,306000,46.49996848,46.7187697,46.50005207,46.71862176
06/12/1993,99500,46.78113821,46.93750949,46.78119666,46.87495271
07/12/1993,88800,46.87498604,46.90650084,46.78127931,46.84386358
08/12/1993,146700,46.84382897,46.84383519,46.78142954,46.84375756
09/12/1993,416500,46.84392156,46.90649672,46.62490677,46.68761137
10/12/1993,412900,46.71894847,46.71892936,245.7615469,46.59384149
13/12/1993,273200,46.59372275,46.87493719,46.53118718,46.87503218
14/12/1993,41900,46.90648591,46.90635983,46.53139624,46.53146739
15/12/1993,82600,46.59375952,46.62504933,46.46879778,46.46886384
